Title,Duration,Rating,Voting,Genre
 Mufasa: The Lion King,1h 58m,6.6,58000,Adventure
 Moana 2,1h 40m,6.6,98000,Adventure
 Flow,1h 25m,7.9,70000,Adventure
 Gladiator II,2h 28m,6.5,225000,Adventure
 Twisters,2h 2m,6.5,165000,Adventure
 Sonic the Hedgehog 3,1h 50m,6.9,57000,Adventure
 Venom: The Last Dance,1h 50m,6.0,114000,Adventure
 Deadpool & Wolverine,2h 8m,7.6,487000,Adventure
 Dune: Part Two,2h 46m,8.5,620000,Adventure
 Freaky Tales,1h 46m,7.2,839000,Adventure
 The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,7.0,3700,Adventure
 Furiosa: A Mad Max Saga,2h 28m,7.5,283000,Adventure
 Solo Leveling: ReAwakening,2h 1m,8.9,11000,Adventure
 Borderlands,1h 41m,4.7,47000,Adventure
 Paddington in Peru,1h 46m,6.7,19000,Adventure
 The Count of Monte-Cristo,2h 58m,7.6,33000,Adventure
 Despicable Me 4,1h 34m,6.2,64000,Adventure
 Transformers One,1h 44m,7.6,49000,Adventure
 The Lord of the Rings: The War of the Rohirrim,2h 14m,6.3,30000,Adventure
 Inside Out 2,1h 36m,7.5,215000,Adventure
 The Return,1h 56m,6.2,8000,Adventure
 Madame Web,1h 56m,4.0,100000,Adventure
 Bad Boys: Ride or Die,1h 55m,6.5,99000,Adventure
 Kingdom of the Planet of the Apes,2h 25m,6.9,151000,Adventure
 Godzilla x Kong: The New Empire,1h 55m,6.0,121000,Adventure
 Ghostbusters: Frozen Empire,1h 55m,6.1,93000,Adventure
 Damsel,1h 50m,6.1,109000,Adventure
 Red One,2h 3m,6.3,139000,Adventure
 Love Lies Bleeding,1h 44m,6.6,56000,Adventure
 Spaceman,1h 47m,5.7,43000,Adventure
 Uglies,1h 40m,4.7,32000,Adventure
 Kung Fu Panda 4,1h 34m,6.3,67000,Adventure
 Attack on Titan the Movie: The Last Attack,2h 25m,9.2,15000,Adventure
 Survive,1h 30m,4.6,2300,Adventure
 The Garfield Movie,1h 41m,5.7,24000,Adventure
 Spellbound,1h 49m,5.6,7200,Adventure
 Harold and the Purple Crayon,1h 30m,5.7,8200,Adventure
 Wallace & Gromit: Vengeance Most Fowl,1h 22m,7.5,34000,Adventure
 Night of the Zoopocalypse,1h 31m,6.2,510000,Adventure
 Atlas,1h 58m,5.6,56000,Adventure
 Rebel Moon - Part Two: The Scargiver,2h 2m,5.3,59000,Adventure
 Descendants: The Rise of Red,1h 31m,4.7,7000,Adventure
 Kalki 2898 AD,3h,7.0,66000,Adventure
 Arthur the King,1h 47m,7.0,34000,Adventure
 The Unholy Trinity,1h 33m,7.9,49000,Adventure
 Monster Summer,1h 37m,5.7,3600,Adventure
 My Penguin Friend,1h 37m,6.7,4900,Adventure
 Winner,1h 43m,6.5,2400,Adventure
 Hitpig,1h 26m,5.1,907000,Adventure
 Thelma the Unicorn,1h 33m,5.7,2900,Adventure
 No Way Up,1h 30m,4.6,10000,Adventure
 Megamind vs The Doom Syndicate,1h 23m,2.5,5500,Adventure
 The Goat Life,2h 53m,7.1,47000,Adventure
 Family Pack,1h 34m,5.5,8900,Adventure
 River of Blood,1h 26m,5.3,1700,Adventure
 The Best Christmas Pageant Ever,1h 39m,6.8,6100,Adventure
 The Wages of Fear,1h 44m,4.6,4100,Adventure
 Orion and the Dark,1h 33m,6.3,17000,Adventure
 Dongeng Sang Kancil,1h 39m,6.8,156000,Adventure
 Devil's Knight,1h 30m,5.4,809000,Adventure
 Sasquatch Sunset,1h 28m,5.4,5400,Adventure
 Overlord: The Sacred Kingdom,2h 15m,6.9,884000,Adventure
 Lost on a Mountain in Maine,1h 38m,6.1,1200,Adventure
 Justice League: Crisis on Infinite Earths - Part One,1h 33m,6.2,8400,Adventure
 Justice League: Crisis on Infinite Earths - Part Three,1h 34m,6.1,4400,Adventure
 Bookworm,1h 43m,6.0,1800,Adventure
 Anaconda,1h 24m,4.8,624000,Adventure
 Chuck Billy and the Marvelous Guava Tree,1h 30m,7.5,920000,Adventure
 Something in the Water,1h 26m,4.1,4600,Adventure
 Hanu Man,2h 38m,7.7,29000,Adventure
 Buffalo Kids,1h 33m,6.6,669000,Adventure
" I, the Executioner",1h 58m,6.3,1700,Adventure
 Saving Bikini Bottom: The Sandy Cheeks Movie,1h 22m,3.7,3800,Adventure
 The Price of Money: A Largo Winch Adventure,1h 40m,5.0,1100,Adventure
 Badland Hunters,1h 47m,5.9,12000,Adventure
 The Empire,1h 50m,5.2,1200,Adventure
 Ultraman: Rising,1h 57m,6.9,6300,Adventure
 The Courier,1h 41m,6.0,4400,Adventure
 Autumn and the Black Jaguar,1h 40m,5.6,989000,Adventure
 A Legend,2h 9m,4.7,886000,Adventure
 My Hero Academia: You're Next,1h 50m,7.0,2000,Adventure
 That Christmas,1h 31m,6.8,17000,Adventure
 Manjummel Boys,2h 15m,8.2,27000,Adventure
 Saint-Exupéry,1h 38m,5.6,253000,Adventure
 200% Wolf,1h 38m,5.9,1300,Adventure
 Operation Blood Hunt,1h 33m,3.4,477000,Adventure
 Woody Woodpecker Goes to Camp,1h 40m,4.5,2600,Adventure
 The Tiger's Apprentice,1h 24m,5.7,2200,Adventure
 Cult Killer,1h 45m,4.8,2800,Adventure
 Raqa,1h 47m,5.7,177000,Adventure
 Justice League: Crisis on Infinite Earths - Part Two,1h 34m,5.5,5300,Adventure
 Sixty Minutes,1h 28m,5.7,5200,Adventure
 Golden Kamuy,2h 7m,6.3,2600,Adventure
 One Million Babes BC,1h 15m,2.2,78000,Adventure
 Doraemon the Movie: Nobita's Earth Symphony,1h 55m,6.6,1500,Adventure
 Bambi: A Tale of Life in the Woods,1h 18m,5.7,161000,Adventure
 Angels Fallen: Warriors of Peace,1h 43m,4.9,5800,Adventure
 The Twisters,1h 26m,2.6,327000,Adventure
 Dragonkeeper,1h 38m,5.7,1600,Adventure
 Unspeakable: Beyond the Wall of Sleep,1h 30m,6.2,47000,Adventure
 Crayon Shin-chan: Ora's Dinosaur Diary,1h 46m,6.4,334000,Adventure
 Lumina,1h 53m,2.1,660000,Adventure
 The Firing Squad,1h 33m,5.4,5000,Adventure
 Eat the Night,1h 46m,6.1,462000,Adventure
 Bade Miyan Chote Miyan,2h 43m,3.7,39000,Adventure
 Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,7.1,8400,Adventure
 The Last Redemption,2h 2m,6.7,3400,Adventure
 Roadkill,1h 30m,3.7,677000,Adventure
 WWII: Operation Phoenix,1h 46m,6.3,72000,Adventure
 Escape,1h 34m,6.4,2000,Adventure
 No Time to Spy: A Loud House Movie,1h 21m,6.4,443000,Adventure
 War of the Worlds: Extinction,1h 24m,3.1,201000,Adventure
 A Sloth Story,1h 30m,5.6,203000,Adventure
 No Chains No Masters,1h 38m,6.4,499000,Adventure
 ARM,2h 30m,7.1,8600,Adventure
 Escape from the 21st Century,1h 38m,6.5,855000,Adventure
 Man and Witch: The Dance of a Thousand Steps,1h 34m,5.5,328000,Adventure
 Diplodocus,1h 30m,6.3,171000,Adventure
 My Oni Girl,1h 52m,6.0,1700,Adventure
 Bionic,1h 50m,4.3,1700,Adventure
 Thangalaan,2h 36m,6.6,6600,Adventure
 This Too Shall Pass,1h 45m,4.4,509000,Adventure
 Robin and the Hoods,1h 40m,4.5,15000,Adventure
 Kanguva,2h 32m,2.2,17000,Adventure
 Now or Never!,1h 30m,7.8,44000,Adventure
 The Lost Tiger,1h 36m,4.3,641000,Adventure
 Noah's Ark,1h 55m,4.8,567000,Adventure
 The Last Ronin,1h 18m,5.2,371000,Adventure
 Spiders on a Plane,1h 27m,5.1,265000,Adventure
 Gracie and Pedro: Pets to the Rescue,2h 1m,5.5,98000,Adventure
 The Magician's Raincoat,1h 25m,5.6,544000,Adventure
 Pimpinero: Blood and Oil,2h 21m,3.0,298000,Adventure
 Planetquake,1h 27m,6.0,1200,Adventure
 Guest from the Future,1h 4m,7.5,81000,Adventure
 Marianengraben,1h 59m,5.8,14000,Adventure
 The Last of Us: Immunity,2h 35m,2.4,555000,Adventure
 The Phantom Warrior,1h 30m,6.0,4000,Adventure
 Ayalaan,1h 34m,6.8,52000,Adventure
 Game of Death - The six Doors to Hell,2h 35m,6.0,186000,Adventure
 Going Viral,2h 3m,3.5,989000,Adventure
 Rebellious,1h 25m,4.1,520000,Adventure
 Barroz: Guardian of Treasures,1h 45m,7.2,258000,Adventure
 Bureau 749,1h 31m,5.9,307000,Adventure
 Never Look Away,1h 49m,6.0,97000,Adventure
 School of Magical Animals 3,1h 37m,4.0,219000,Adventure
 The Goat,1h 38m,1.2,624000,Adventure
 The Keepers of the 5 Kingdoms,1h 47m,3.5,22000,Adventure
 All for One,1h 49m,6.4,78000,Adventure
 Oscar Wilde About America,1h 1m,6.8,193000,Adventure
 Dalia y el Libro Rojo,1h 35m,6.3,39000,Adventure
 Cells at Work!,1h 32m,5.8,159000,Adventure
 STEVE (A Minecraft Movie),1h 29m,6.6,155000,Adventure
 Gladiators,2h 27m,6.4,2000,Adventure
 Treasure Trackers,1h 28m,5.0,27000,Adventure
 The Mountain,1h 26m,6.3,398000,Adventure
 Gaami,1h 40m,5.5,137000,Adventure
 Return to Wickensburg,1h 28m,6.2,558000,Adventure
 My Freaky Family,1h 29m,5.6,663000,Adventure
 Rally Caps,1h 16m,4.6,2400,Adventure
 Storm Crashers,1h 23m,3.3,192000,Adventure
 The Casagrandes Movie,2h,5.3,258000,Adventure
 I Heart Robots,1h 33m,5.6,101000,Adventure
 Earthquake Underground,1h 36m,5.3,123000,Adventure
 Ahl Al Kahf,1h 40m,7.4,51000,Adventure
 A Trip Elsewhere,2h 4m,6.6,944000,Adventure
 Mong Vuot,2h 9m,6.4,1100,Adventure
 Dünya Varmis,1h 53m,6.0,15000,Adventure
 Mobile Suit Gundam SEED Freedom,2h 14m,5.2,207000,Adventure
 Jathara,1h 33m,9.1,56000,Adventure
 Oculus,1h 36m,7.9,17000,Adventure
 The Traveller,2h 28m,9.1,416000,Adventure
 Satu - Year of the Rabbit,1h 20m,3.2,204000,Adventure
 Sunlight,2h 37m,5.2,23000,Adventure
 I Left My Heart in Colombia,1h 53m,6.5,8600,Adventure
 Tanning Zone,1h 25m,5.3,190000,Adventure
 Empire Queen: The Golden Age of Magic,1h 26m,5.8,56000,Adventure
 Witch Hunter,1h 58m,6.2,325000,Adventure
 Captain Miller,1h 43m,4.6,472000,Adventure
 Amazon Bullseye,2h 5m,5.1,565000,Adventure
 Kvitebjørn,1h 44m,4.9,222000,Adventure
 Niko: Beyond the Northern Lights,1h 40m,7.2,1400,Adventure
 Warrior Awang and Master Tok Gajah,1h 55m,7.7,50000,Adventure
 Odio el verano,1h 44m,4.6,668000,Adventure
 Next to Us,1h 35m,7.8,15000,Adventure
 Rocky Road to Berlin,1h 33m,7.3,46000,Adventure
 Trifole,2h 22m,3.7,114000,Adventure
 Bremenskie muzykanty,2h 13m,5.6,985000,Adventure
 Daye: Seret ahl el Daye,1h 29m,7.9,88000,Adventure
 Ghost Island,1h 24m,6.0,897000,Adventure
 Its Name Was Mormo,1h 17m,7.0,19000,Adventure
 Kalvan,2h 26m,6.5,48000,Adventure
 The Kingdom,2h 53m,5.4,402000,Adventure
 Meanwhile on Earth,1h 48m,9.2,69000,Adventure
 Shrek 5: The Contract - A Fan Made Film,1h 21m,5.7,84000,Adventure
 The Forest,1h 11m,5.9,198000,Adventure
 Taklee Genesis x Worlds Collide,2h,7.0,143000,Adventure
 Kodaikanal,1h 35m,5.8,70000,Adventure
 The Artifact,1h 23m,6.2,538000,Adventure
 Memes & Nightmares,1h 23m,2.0,350000,Adventure
 Mufasa: The Lion King,1h 58m,6.6,58000,Fantasy
 Wicked,2h 40m,7.5,153000,Fantasy
 Moana 2,1h 40m,6.6,98000,Fantasy
 Nosferatu,2h 12m,7.2,187000,Fantasy
 Flow,1h 25m,7.9,70000,Fantasy
 Sonic the Hedgehog 3,1h 50m,6.9,57000,Fantasy
 Parthenope,2h 17m,6.6,11000,Fantasy
 Better Man,2h 15m,7.6,25000,Fantasy
 Solo Leveling: ReAwakening,2h 1m,8.9,11000,Fantasy
 The Life of Chuck,1h 50m,7.7,481000,Fantasy
 Beetlejuice Beetlejuice,1h 45m,6.7,146000,Fantasy
 Transformers One,1h 44m,7.6,49000,Fantasy
 The Lord of the Rings: The War of the Rohirrim,2h 14m,6.3,30000,Fantasy
 Inside Out 2,1h 36m,7.5,215000,Fantasy
 The Crow,1h 51m,4.7,34000,Fantasy
 Megalopolis,2h 18m,4.7,35000,Fantasy
 Godzilla x Kong: The New Empire,1h 55m,6.0,121000,Fantasy
 IF,1h 44m,6.4,58000,Fantasy
 The Watchers,1h 42m,5.7,56000,Fantasy
 Ghostbusters: Frozen Empire,1h 55m,6.1,93000,Fantasy
 Damsel,1h 50m,6.1,109000,Fantasy
 Red One,2h 3m,6.3,139000,Fantasy
 Uglies,1h 40m,4.7,32000,Fantasy
 Kung Fu Panda 4,1h 34m,6.3,67000,Fantasy
 The End,2h 28m,5.5,1800,Fantasy
 The Garfield Movie,1h 41m,5.7,24000,Fantasy
 Spellbound,1h 49m,5.6,7200,Fantasy
 Harold and the Purple Crayon,1h 30m,5.7,8200,Fantasy
 Rebel Moon - Part Two: The Scargiver,2h 2m,5.3,59000,Fantasy
 Descendants: The Rise of Red,1h 31m,4.7,7000,Fantasy
 Kalki 2898 AD,3h,7.0,66000,Fantasy
 Monster Summer,1h 37m,5.7,3600,Fantasy
 Girl Haunts Boy,1h 40m,6.3,2900,Fantasy
 Sketch,1h 32m,8.4,47000,Fantasy
 The Tearsmith,1h 43m,5.2,12000,Fantasy
 Dear Santa,1h 47m,5.4,18000,Fantasy
 Thelma the Unicorn,1h 33m,5.7,2900,Fantasy
 The Wonderful Story of Henry Sugar and Three More,1h 28m,7.1,6500,Fantasy
 Irish Wish,1h 33m,5.2,21000,Fantasy
 Family Pack,1h 34m,5.5,8900,Fantasy
 The Best Christmas Pageant Ever,1h 39m,6.8,6100,Fantasy
 Orion and the Dark,1h 33m,6.3,17000,Fantasy
 Dongeng Sang Kancil,1h 39m,6.8,156000,Fantasy
 Devil's Knight,1h 30m,5.4,809000,Fantasy
 The American Society of Magical Negroes,1h 44m,3.7,12000,Fantasy
 This Is Me Now,1h 5m,4.1,7100,Fantasy
 Hot Frosty,1h 32m,5.3,15000,Fantasy
 Overlord: The Sacred Kingdom,2h 15m,6.9,884000,Fantasy
 Justice League: Crisis on Infinite Earths - Part One,1h 33m,6.2,8400,Fantasy
 Justice League: Crisis on Infinite Earths - Part Three,1h 34m,6.1,4400,Fantasy
 Hagen,2h 19m,6.1,1200,Fantasy
 The Thundermans Return,1h 10m,5.0,1800,Fantasy
 Hanu Man,2h 38m,7.7,29000,Fantasy
 Buffalo Kids,1h 33m,6.6,669000,Fantasy
 Saving Bikini Bottom: The Sandy Cheeks Movie,1h 22m,3.7,3800,Fantasy
 Ultraman: Rising,1h 57m,6.9,6300,Fantasy
 The Sand Castle,1h 38m,4.7,1700,Fantasy
 Bhool Bhulaiyaa 3,2h 38m,4.7,77000,Fantasy
 Pedro Páramo,2h 10m,6.3,2900,Fantasy
 Timestalker,1h 29m,5.5,2900,Fantasy
 The Balconettes,1h 44m,6.3,796000,Fantasy
 That Christmas,1h 31m,6.8,17000,Fantasy
 Cinderella's Curse,1h 22m,3.3,1300,Fantasy
 Dan Da Dan: First Encounter,1h 23m,8.2,2700,Fantasy
 200% Wolf,1h 38m,5.9,1300,Fantasy
 Woody Woodpecker Goes to Camp,1h 40m,4.5,2600,Fantasy
 The Tiger's Apprentice,1h 24m,5.7,2200,Fantasy
 Cinderella's Revenge,1h 25m,3.7,1100,Fantasy
 Seven Cemeteries,1h 24m,4.5,552000,Fantasy
 Justice League: Crisis on Infinite Earths - Part Two,1h 34m,5.5,5300,Fantasy
 White Snake: Afloat,2h 13m,6.9,463000,Fantasy
 Nonostante,1h 33m,6.0,132000,Fantasy
 Mononoke the Movie: The Phantom in the Rain,1h 29m,6.8,1200,Fantasy
 Doraemon the Movie: Nobita's Earth Symphony,1h 55m,6.6,1500,Fantasy
 Angels Fallen: Warriors of Peace,1h 43m,4.9,5800,Fantasy
 Harry Potter and the Stone,2h 32m,8.1,162000,Fantasy
 Dragonkeeper,1h 38m,5.7,1600,Fantasy
 Unspeakable: Beyond the Wall of Sleep,1h 30m,6.2,47000,Fantasy
 Woodwalkers,1h 43m,5.3,414000,Fantasy
 Mars,1h 24m,8.9,21000,Fantasy
 Una ballena,1h 48m,6.0,73000,Fantasy
 A Dog's Will 2,1h 44m,6.2,2900,Fantasy
 Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,7.1,8400,Fantasy
 The Night Before Christmas in Wonderland,1h 20m,6.3,511000,Fantasy
 The Opera!,1h 46m,7.1,54000,Fantasy
 ARM,2h 30m,7.1,8600,Fantasy
 Chantal in Fairyland,1h 58m,4.6,2600,Fantasy
 Man and Witch: The Dance of a Thousand Steps,1h 34m,5.5,328000,Fantasy
 Lesbian Space Princess,1h 27m,7.5,110000,Fantasy
 Diplodocus,1h 30m,6.3,171000,Fantasy
 The Witch: Revenge,1h 40m,5.3,813000,Fantasy
 10 Lives,1h 28m,5.9,1900,Fantasy
 My Oni Girl,1h 52m,6.0,1700,Fantasy
 Thangalaan,2h 36m,6.6,6600,Fantasy
 Robin and the Hoods,1h 40m,4.4,509000,Fantasy
 Kanguva,2h 32m,4.5,15000,Fantasy
 The Lost Tiger,1h 30m,7.8,44000,Fantasy
 Ryan's World the Movie: Titan Universe Adventure,1h 20m,1.8,682000,Fantasy
 Alienoid: The Return to the Future,2h 2m,6.5,2600,Fantasy
 The Magician's Raincoat,1h 51m,5.5,98000,Fantasy
 The Invisibles,2h 25m,5.9,460000,Fantasy
 Balestra,1h 20m,5.1,521000,Fantasy
 Super-Charlie,1h 59m,5.8,112000,Fantasy
 The Phantom Warrior,1h 43m,2.4,555000,Fantasy
 Un cuento de pescadores,1h 19m,7.3,39000,Fantasy
" Love, Danielle",1h 34m,8.9,40000,Fantasy
 Rebellious,2h 35m,6.0,186000,Fantasy
 Barroz: Guardian of Treasures,1h 45m,3.5,989000,Fantasy
 School of Magical Animals 3,1h 10m,5.9,307000,Fantasy
 Snatched a Billionaire to Be My Husband,1h 49m,7.6,655000,Fantasy
 The Keepers of the 5 Kingdoms,1h 20m,4.0,219000,Fantasy
 Princesa Adormecida,1h 47m,3.9,162000,Fantasy
 Dalia y el Libro Rojo,1h 49m,6.4,78000,Fantasy
 Cells at Work!,1h 40m,6.8,193000,Fantasy
 Else,1h 37m,6.1,230000,Fantasy
 Ghost Cat Anzu,2h 27m,6.5,753000,Fantasy
 Gaami,1h 35m,6.4,2000,Fantasy
 Tim Travers & the Time Travelers Paradox,1h 32m,6.9,276000,Fantasy
 Vincent,1h 28m,8.0,40000,Fantasy
 King Baby,1h 10m,7.0,24000,Fantasy
 Schneewittchen,1h 41m,5.0,1400,Fantasy
 Phallacies,1h 47m,5.2,563000,Fantasy
 Witch,1h 50m,5.6,663000,Fantasy
 The Sleeping Woman,1h 29m,3.6,117000,Fantasy
